#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","MTJZ1","SAMN07437042","PRJNA396809","GCA_003271045.1"," Chromosome",11.6558,38.2135,"chromosome I:CM016360.1; chromosome II:CM016361.1; chromosome III:CM016362.1; chromosome IV:CM016363.1; chromosome V:CM016364.1; chromosome VI:CM016365.1; chromosome VII:CM016366.1; chromosome VIII:CM016367.1; chromosome IX:CM016368.1; chromosome X:CM016369.1; chromosome XI:CM016370.1; chromosome XII:CM016371.1; chromosome XIII:CM016372.1; chromosome XIV:CM016373.1; chromosome XV:CM016374.1; chromosome XVI:CM016375.1","NPPZ01",41,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/271/045/GCA_003271045.1_ASM327104v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","GS1","SAMN07436966","PRJNA396809","GCA_003272405.1"," Chromosome",11.6274,38.3167,"chromosome I:CM014695.1; chromosome II:CM014696.1; chromosome III:CM014697.1; chromosome IV:CM014698.1; chromosome V:CM014699.1; chromosome VI:CM014700.1; chromosome VII:CM014701.1; chromosome VIII:CM014702.1; chromosome IX:CM014703.1; chromosome X:CM014704.1; chromosome XI:CM014705.1; chromosome XII:CM014706.1; chromosome XIII:CM014707.1; chromosome XIV:CM014708.1; chromosome XV:CM014709.1; chromosome XVI:CM014710.1","NPSX01",71,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/272/405/GCA_003272405.1_ASM327240v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","QH2.1","SAMN07436986","PRJNA396809","GCA_003272065.1"," Chromosome",11.7033,38.2128,"chromosome I:CM014583.1; chromosome II:CM014584.1; chromosome III:CM014585.1; chromosome IV:CM014586.1; chromosome V:CM014587.1; chromosome VI:CM014588.1; chromosome VII:CM014589.1; chromosome VIII:CM014590.1; chromosome IX:CM014591.1; chromosome X:CM014592.1; chromosome XI:CM014593.1; chromosome XII:CM014594.1; chromosome XIII:CM014595.1; chromosome XIV:CM014596.1; chromosome XV:CM014597.1; chromosome XVI:CM014598.1","NPSD01",76,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/272/065/GCA_003272065.1_ASM327206v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","HN6.1","SAMN07437052","PRJNA396809","GCA_003270455.1"," Chromosome",11.6978,38.2213,"chromosome I:CM016200.1; chromosome II:CM016201.1; chromosome III:CM016202.1; chromosome IV:CM016203.1; chromosome V:CM016204.1; chromosome VI:CM016205.1; chromosome VII:CM016206.1; chromosome VIII:CM016207.1; chromosome IX:CM016208.1; chromosome X:CM016209.1; chromosome XI:CM016210.1; chromosome XII:CM016211.1; chromosome XIII:CM016212.1; chromosome XIV:CM016213.1; chromosome XV:CM016214.1; chromosome XVI:CM016215.1","NPPP01",63,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/270/455/GCA_003270455.1_ASM327045v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","GZLJ3.30","SAMN07437016","PRJNA396809","GCA_003273415.1"," Chromosome",11.8293,38.4715,"chromosome I:CM016072.1; chromosome II:CM016073.1; chromosome III:CM016074.1; chromosome IV:CM016075.1; chromosome V:CM016076.1; chromosome VI:CM016077.1; chromosome VII:CM016078.1; chromosome VIII:CM016079.1; chromosome IX:CM016080.1; chromosome X:CM016081.1; chromosome XI:CM016082.1; chromosome XII:CM016083.1; chromosome XIII:CM016084.1; chromosome XIV:CM016085.1; chromosome XV:CM016086.1; chromosome XVI:CM016087.1","NPQZ01",207,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/273/415/GCA_003273415.1_ASM327341v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","HLJ59","SAMN07437022","PRJNA396809","GCA_003273385.1"," Chromosome",11.7962,38.2021,"chromosome I:CM016008.1; chromosome II:CM016009.1; chromosome III:CM016010.1; chromosome IV:CM016011.1; chromosome V:CM016012.1; chromosome VI:CM016013.1; chromosome VII:CM016014.1; chromosome VIII:CM016015.1; chromosome IX:CM016016.1; chromosome X:CM016017.1; chromosome XI:CM016018.1; chromosome XII:CM016019.1; chromosome XIII:CM016020.1; chromosome XIV:CM016021.1; chromosome XV:CM016022.1; chromosome XVI:CM016023.1","NPQT01",67,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/273/385/GCA_003273385.1_ASM327338v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","SX3","SAMN07436827","PRJNA396809","GCA_003277085.1"," Chromosome",11.815,38.1757,"chromosome I:CM011897.1; chromosome II:CM011898.1; chromosome III:CM011899.1; chromosome IV:CM011900.1; chromosome V:CM011901.1; chromosome VI:CM011902.1; chromosome VII:CM011903.1; chromosome VIII:CM011904.1; chromosome IX:CM011905.1; chromosome X:CM011906.1; chromosome XI:CM011907.1; chromosome XII:CM011908.1; chromosome XIII:CM011909.1; chromosome XIV:CM011910.1; chromosome XV:CM011911.1; chromosome XVI:CM011912.1","NPYF01",51,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/277/085/GCA_003277085.1_ASM327708v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","BT1.1","SAMN07436939","PRJNA396809","GCA_003274225.1"," Chromosome",11.7293,38.181,"chromosome I:CM013553.1; chromosome II:CM013554.1; chromosome III:CM013555.1; chromosome IV:CM013556.1; chromosome V:CM013557.1; chromosome VI:CM013558.1; chromosome VII:CM013559.1; chromosome VIII:CM013560.1; chromosome IX:CM013561.1; chromosome X:CM013562.1; chromosome XI:CM013563.1; chromosome XII:CM013564.1; chromosome XIII:CM013565.1; chromosome XIV:CM013566.1; chromosome XV:CM013567.1; chromosome XVI:CM013568.1","NPTY01",73,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/274/225/GCA_003274225.1_ASM327422v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","SX8","SAMN07436832","PRJNA396809","GCA_003276975.1"," Chromosome",11.8096,38.2504,"chromosome I:CM011945.1; chromosome II:CM011946.1; chromosome III:CM011947.1; chromosome IV:CM011948.1; chromosome V:CM011949.1; chromosome VI:CM011950.1; chromosome VII:CM011951.1; chromosome VIII:CM011952.1; chromosome IX:CM011953.1; chromosome X:CM011954.1; chromosome XI:CM011955.1; chromosome XII:CM011956.1; chromosome XIII:CM011957.1; chromosome XIV:CM011958.1; chromosome XV:CM011959.1; chromosome XVI:CM011960.1","NPYA01",59,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/276/975/GCA_003276975.1_ASM327697v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","FJ1","SAMN07436880","PRJNA396809","GCA_003276505.1"," Chromosome",11.8933,38.1768,"chromosome I:CM011333.1; chromosome II:CM011334.1; chromosome III:CM011335.1; chromosome IV:CM011336.1; chromosome V:CM011337.1; chromosome VI:CM011338.1; chromosome VII:CM011339.1; chromosome VIII:CM011340.1; chromosome IX:CM011341.1; chromosome X:CM011342.1; chromosome XI:CM011343.1; chromosome XII:CM011344.1; chromosome XIII:CM011345.1; chromosome XIV:CM011346.1; chromosome XV:CM011347.1; chromosome XVI:CM011348.1","NPWE01",72,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/276/505/GCA_003276505.1_ASM327650v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","ZJ1","SAMN07436875","PRJNA396809","GCA_003275385.1"," Chromosome",11.8392,38.1523,"chromosome I:CM012893.1; chromosome II:CM012894.1; chromosome III:CM012895.1; chromosome IV:CM012896.1; chromosome V:CM012897.1; chromosome VI:CM012898.1; chromosome VII:CM012899.1; chromosome VIII:CM012900.1; chromosome IX:CM012901.1; chromosome X:CM012902.1; chromosome XI:CM012903.1; chromosome XII:CM012904.1; chromosome XIII:CM012905.1; chromosome XIV:CM012906.1; chromosome XV:CM012907.1; chromosome XVI:CM012908.1","NPWJ01",45,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/275/385/GCA_003275385.1_ASM327538v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","MTJZ3","SAMN07437026","PRJNA396809","GCA_003271225.1"," Chromosome",11.6874,38.2045,"chromosome I:CM015928.1; chromosome II:CM015929.1; chromosome III:CM015930.1; chromosome IV:CM015931.1; chromosome V:CM015932.1; chromosome VI:CM015933.1; chromosome VII:CM015934.1; chromosome VIII:CM015935.1; chromosome IX:CM015936.1; chromosome X:CM015937.1; chromosome XI:CM015938.1; chromosome XII:CM015939.1; chromosome XIII:CM015940.1; chromosome XIV:CM015941.1; chromosome XV:CM015942.1; chromosome XVI:CM015943.1","NPQP01",53,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/271/225/GCA_003271225.1_ASM327122v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","BJ18","SAMN07436840","PRJNA396809","GCA_003276845.1"," Chromosome",11.777,38.2981,"chromosome I:CM012009.1; chromosome II:CM012010.1; chromosome III:CM012011.1; chromosome IV:CM012012.1; chromosome V:CM012013.1; chromosome VI:CM012014.1; chromosome VII:CM012015.1; chromosome VIII:CM012016.1; chromosome IX:CM012017.1; chromosome X:CM012018.1; chromosome XI:CM012019.1; chromosome XII:CM012020.1; chromosome XIII:CM012021.1; chromosome XIV:CM012022.1; chromosome XV:CM012023.1; chromosome XVI:CM012024.1","NPXS01",72,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/276/845/GCA_003276845.1_ASM327684v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","YN6","SAMN07436898","PRJNA396809","GCA_003274865.1"," Chromosome",11.8428,38.2156,"chromosome I:CM013202.1; chromosome II:CM013203.1; chromosome III:CM013204.1; chromosome IV:CM013205.1; chromosome V:CM013206.1; chromosome VI:CM013207.1; chromosome VII:CM013208.1; chromosome VIII:CM013209.1; chromosome IX:CM013210.1; chromosome X:CM013211.1; chromosome XI:CM013212.1; chromosome XII:CM013213.1; chromosome XIII:CM013214.1; chromosome XIV:CM013215.1; chromosome XV:CM013216.1; chromosome XVI:CM013217.1","NPVM01",63,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/274/865/GCA_003274865.1_ASM327486v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","XJ7","SAMN07436893","PRJNA396809","GCA_003275005.1"," Chromosome",11.8232,38.1581,"chromosome I:CM013089.1; chromosome II:CM013090.1; chromosome III:CM013091.1; chromosome IV:CM013092.1; chromosome V:CM013093.1; chromosome VI:CM013094.1; chromosome VII:CM013095.1; chromosome VIII:CM013096.1; chromosome IX:CM013097.1; chromosome X:CM013098.1; chromosome XI:CM013099.1; chromosome XII:CM013100.1; chromosome XIII:CM013101.1; chromosome XIV:CM013102.1; chromosome XV:CM013103.1; chromosome XVI:CM013104.1","NPVR01",62,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/275/005/GCA_003275005.1_ASM327500v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","XJ3","SAMN07436891","PRJNA396809","GCA_003276405.1"," Chromosome",11.8109,38.2171,"chromosome I:CM012541.1; chromosome II:CM012542.1; chromosome III:CM012543.1; chromosome IV:CM012544.1; chromosome V:CM012545.1; chromosome VI:CM012546.1; chromosome VII:CM012547.1; chromosome VIII:CM012548.1; chromosome IX:CM012549.1; chromosome X:CM012550.1; chromosome XI:CM012551.1; chromosome XII:CM012552.1; chromosome XIII:CM012553.1; chromosome XIV:CM012554.1; chromosome XV:CM012555.1; chromosome XVI:CM012556.1","NPVT01",97,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/276/405/GCA_003276405.1_ASM327640v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","NX8.1","SAMN07436983","PRJNA396809","GCA_003272045.1"," Chromosome",11.743,38.2012,"chromosome I:CM014615.1; chromosome II:CM014616.1; chromosome III:CM014617.1; chromosome IV:CM014618.1; chromosome V:CM014619.1; chromosome VI:CM014620.1; chromosome VII:CM014621.1; chromosome VIII:CM014622.1; chromosome IX:CM014623.1; chromosome X:CM014624.1; chromosome XI:CM014625.1; chromosome XII:CM014626.1; chromosome XIII:CM014627.1; chromosome XIV:CM014628.1; chromosome XV:CM014629.1; chromosome XVI:CM014630.1","NPSG01",81,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/272/045/GCA_003272045.1_ASM327204v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","XJ2","SAMN07436937","PRJNA396809","GCA_003272975.1"," Chromosome",11.7069,38.2028,"chromosome I:CM013713.1; chromosome II:CM013714.1; chromosome III:CM013715.1; chromosome IV:CM013716.1; chromosome V:CM013717.1; chromosome VI:CM013718.1; chromosome VII:CM013719.1; chromosome VIII:CM013720.1; chromosome IX:CM013721.1; chromosome X:CM013722.1; chromosome XI:CM013723.1; chromosome XII:CM013724.1; chromosome XIII:CM013725.1; chromosome XIV:CM013726.1; chromosome XV:CM013727.1; chromosome XVI:CM013728.1","NPUA01",57,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/272/975/GCA_003272975.1_ASM327297v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","JM37.2","SAMN07436973","PRJNA396809","GCA_003273925.1"," Chromosome",11.6919,38.1443,"chromosome I:CM014455.1; chromosome II:CM014456.1; chromosome III:CM014457.1; chromosome IV:CM014458.1; chromosome V:CM014459.1; chromosome VI:CM014460.1; chromosome VII:CM014461.1; chromosome VIII:CM014462.1; chromosome IX:CM014463.1; chromosome X:CM014464.1; chromosome XI:CM014465.1; chromosome XII:CM014466.1; chromosome XIII:CM014467.1; chromosome XIV:CM014468.1; chromosome XV:CM014469.1; chromosome XVI:CM014470.1","NPSQ01",64,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/273/925/GCA_003273925.1_ASM327392v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","FJ6","SAMN07436867","PRJNA396809","GCA_003275605.1"," Chromosome",11.8246,38.1601,"chromosome I:CM012797.1; chromosome II:CM012798.1; chromosome III:CM012799.1; chromosome IV:CM012800.1; chromosome V:CM012801.1; chromosome VI:CM012802.1; chromosome VII:CM012803.1; chromosome VIII:CM012804.1; chromosome IX:CM012805.1; chromosome X:CM012806.1; chromosome XI:CM012807.1; chromosome XII:CM012808.1; chromosome XIII:CM012809.1; chromosome XIV:CM012810.1; chromosome XV:CM012811.1; chromosome XVI:CM012812.1","NPWR01",58,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/275/605/GCA_003275605.1_ASM327560v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","NX1","SAMN07436918","PRJNA396809","GCA_003274585.1"," Chromosome",11.6781,38.2057,"chromosome I:CM013393.1; chromosome II:CM013394.1; chromosome III:CM013395.1; chromosome IV:CM013396.1; chromosome V:CM013397.1; chromosome VI:CM013398.1; chromosome VII:CM013399.1; chromosome VIII:CM013400.1; chromosome IX:CM013401.1; chromosome X:CM013402.1; chromosome XI:CM013403.1; chromosome XII:CM013404.1; chromosome XIII:CM013405.1; chromosome XIV:CM013406.1; chromosome XV:CM013407.1; chromosome XVI:CM013408.1","NPUT01",40,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/274/585/GCA_003274585.1_ASM327458v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","JZ10.1","SAMN07437065","PRJNA396809","GCA_003270245.1"," Chromosome",11.7457,38.232,"chromosome I:CM010081.1; chromosome II:CM010082.1; chromosome III:CM010083.1; chromosome IV:CM010084.1; chromosome V:CM010085.1; chromosome VI:CM010086.1; chromosome VII:CM010087.1; chromosome VIII:CM010088.1; chromosome IX:CM010089.1; chromosome X:CM010090.1; chromosome XI:CM010091.1; chromosome XII:CM010092.1; chromosome XIII:CM010093.1; chromosome XIV:CM010094.1; chromosome XV:CM010095.1; chromosome XVI:CM010096.1","NPPC01",73,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/270/245/GCA_003270245.1_ASM327024v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","HN5.1","SAMN07437007","PRJNA396809","GCA_003271565.1"," Chromosome",11.7641,38.2462,"chromosome I:CM015366.1; chromosome II:CM015367.1; chromosome III:CM015368.1; chromosome IV:CM015369.1; chromosome V:CM015370.1; chromosome VI:CM015371.1; chromosome VII:CM015372.1; chromosome VIII:CM015373.1; chromosome IX:CM015374.1; chromosome X:CM015375.1; chromosome XI:CM015376.1; chromosome XII:CM015377.1; chromosome XIII:CM015378.1; chromosome XIV:CM015379.1; chromosome XV:CM015380.1; chromosome XVI:CM015381.1","NPRI01",102,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/271/565/GCA_003271565.1_ASM327156v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","YN5","SAMN07436897","PRJNA396809","GCA_003276395.1"," Chromosome",11.8077,38.1909,"chromosome I:CM012557.1; chromosome II:CM012558.1; chromosome III:CM012559.1; chromosome IV:CM012560.1; chromosome V:CM012561.1; chromosome VI:CM012562.1; chromosome VII:CM012563.1; chromosome VIII:CM012564.1; chromosome IX:CM012565.1; chromosome X:CM012566.1; chromosome XI:CM012567.1; chromosome XII:CM012568.1; chromosome XIII:CM012569.1; chromosome XIV:CM012570.1; chromosome XV:CM012571.1; chromosome XVI:CM012572.1","NPVN01",69,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/276/395/GCA_003276395.1_ASM327639v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","QH1.1","SAMN07436985","PRJNA396809","GCA_003273725.1"," Chromosome",11.751,38.214,"chromosome I:CM014503.1; chromosome II:CM014504.1; chromosome III:CM014505.1; chromosome IV:CM014506.1; chromosome V:CM014507.1; chromosome VI:CM014508.1; chromosome VII:CM014509.1; chromosome VIII:CM014510.1; chromosome IX:CM014511.1; chromosome X:CM014512.1; chromosome XI:CM014513.1; chromosome XII:CM014514.1; chromosome XIII:CM014515.1; chromosome XIV:CM014516.1; chromosome XV:CM014517.1; chromosome XVI:CM014518.1","NPSE01",75,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/273/725/GCA_003273725.1_ASM327372v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","LJM6A.4","SAMN07436957","PRJNA396809","GCA_003272625.1"," Chromosome",11.7865,38.2044,"chromosome I:CM013916.1; chromosome II:CM013917.1; chromosome III:CM013918.1; chromosome IV:CM013919.1; chromosome V:CM013920.1; chromosome VI:CM013921.1; chromosome VII:CM013922.1; chromosome VIII:CM013923.1; chromosome IX:CM013924.1; chromosome X:CM013925.1; chromosome XI:CM013926.1; chromosome XII:CM013927.1; chromosome XIII:CM013928.1; chromosome XIV:CM013929.1; chromosome XV:CM013930.1; chromosome XVI:CM013931.1","NPTG01",86,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/272/625/GCA_003272625.1_ASM327262v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","WL1","SAMN07436980","PRJNA396809","GCA_003273825.1"," Chromosome",11.8015,38.2455,"chromosome I:CM014423.1; chromosome II:CM014424.1; chromosome III:CM014425.1; chromosome IV:CM014426.1; chromosome V:CM014427.1; chromosome VI:CM014428.1; chromosome VII:CM014429.1; chromosome VIII:CM014430.1; chromosome IX:CM014431.1; chromosome X:CM014432.1; chromosome XI:CM014433.1; chromosome XII:CM014434.1; chromosome XIII:CM014435.1; chromosome XIV:CM014436.1; chromosome XV:CM014437.1; chromosome XVI:CM014438.1","NPSJ01",90,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/273/825/GCA_003273825.1_ASM327382v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","CJM25.4","SAMN07436949","PRJNA396809","GCA_003272755.1"," Chromosome",11.7206,38.2178,"chromosome I:CM013980.1; chromosome II:CM013981.1; chromosome III:CM013982.1; chromosome IV:CM013983.1; chromosome V:CM013984.1; chromosome VI:CM013985.1; chromosome VII:CM013986.1; chromosome VIII:CM013987.1; chromosome IX:CM013988.1; chromosome X:CM013989.1; chromosome XI:CM013990.1; chromosome XII:CM013991.1; chromosome XIII:CM013992.1; chromosome XIV:CM013993.1; chromosome XV:CM013994.1; chromosome XVI:CM013995.1","NPTO01",69,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/272/755/GCA_003272755.1_ASM327275v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","GZLJ3.22","SAMN07437015","PRJNA396809","GCA_003273495.1"," Chromosome",11.6059,38.1852,"chromosome I:CM015160.1; chromosome II:CM015161.1; chromosome III:CM015162.1; chromosome IV:CM015163.1; chromosome V:CM015164.1; chromosome VI:CM015165.1; chromosome VII:CM015166.1; chromosome VIII:CM015167.1; chromosome IX:CM015168.1; chromosome X:CM015169.1; chromosome XI:CM015170.1; chromosome XII:CM015171.1; chromosome XIII:CM015172.1; chromosome XIV:CM015173.1; chromosome XV:CM015174.1; chromosome XVI:CM015175.1","NPRA01",47,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/273/495/GCA_003273495.1_ASM327349v1",
"Saccharomyces cerevisiae CEN.PK113-7D","Eukaryota;Fungi;Ascomycetes","CEN.PK113-7D","SAMN00828752","PRJNA52955","GCA_000269885.1"," Chromosome",11.9991,38.7084,"chromosome I:CM001522.1; chromosome II:CM001523.1; chromosome III:CM001524.1; chromosome IV:CM001525.1; chromosome V:CM001526.1; chromosome VI:CM001527.1; chromosome VII:CM001528.1; chromosome VIII:CM001529.1; chromosome IX:CM001530.1; chromosome X:CM001531.1; chromosome XI:CM001532.1; chromosome XII:CM001533.1; chromosome XIII:CM001534.1; chromosome XIV:CM001535.1; chromosome XV:CM001536.1; chromosome XVI:CM001537.1","AEHG01",70,5451,"2012-06-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/269/885/GCA_000269885.1_ASM26988v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","WJZ1.2","SAMN07436959","PRJNA396809","GCA_003272575.1"," Chromosome",11.8954,38.2506,"chromosome I:CM013884.1; chromosome II:CM013885.1; chromosome III:CM013886.1; chromosome IV:CM013887.1; chromosome V:CM013888.1; chromosome VI:CM013889.1; chromosome VII:CM013890.1; chromosome VIII:CM013891.1; chromosome IX:CM013892.1; chromosome X:CM013893.1; chromosome XI:CM013894.1; chromosome XII:CM013895.1; chromosome XIII:CM013896.1; chromosome XIV:CM013897.1; chromosome XV:CM013898.1; chromosome XVI:CM013899.1","NPTE01",167,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/272/575/GCA_003272575.1_ASM327257v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","JL2","SAMN07437005","PRJNA396809","GCA_003271555.1"," Chromosome",11.7764,38.1858,"chromosome I:CM015382.1; chromosome II:CM015383.1; chromosome III:CM015384.1; chromosome IV:CM015385.1; chromosome V:CM015386.1; chromosome VI:CM015387.1; chromosome VII:CM015388.1; chromosome VIII:CM015389.1; chromosome IX:CM015390.1; chromosome X:CM015391.1; chromosome XI:CM015392.1; chromosome XII:CM015393.1; chromosome XIII:CM015394.1; chromosome XIV:CM015395.1; chromosome XV:CM015396.1; chromosome XVI:CM015397.1","NPRK01",73,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/271/555/GCA_003271555.1_ASM327155v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","QH7.3","SAMN07436977","PRJNA396809","GCA_003272165.1"," Chromosome",11.6755,38.2256,"chromosome I:CM015237.1; chromosome II:CM015238.1; chromosome III:CM015239.1; chromosome IV:CM015240.1; chromosome V:CM015241.1; chromosome VI:CM015242.1; chromosome VII:CM015243.1; chromosome VIII:CM015244.1; chromosome IX:CM015245.1; chromosome X:CM015246.1; chromosome XI:CM015247.1; chromosome XII:CM015248.1; chromosome XIII:CM015249.1; chromosome XIV:CM015250.1; chromosome XV:CM015251.1; chromosome XVI:CM015252.1","NPSM01",58,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/272/165/GCA_003272165.1_ASM327216v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","JT49.1","SAMN07437061","PRJNA396809","GCA_003270325.1"," Chromosome",11.5811,38.2198,"chromosome I:CM010193.1; chromosome II:CM010194.1; chromosome III:CM010195.1; chromosome IV:CM010196.1; chromosome V:CM010197.1; chromosome VI:CM010198.1; chromosome VII:CM010199.1; chromosome VIII:CM010200.1; chromosome IX:CM010201.1; chromosome X:CM010202.1; chromosome XI:CM010203.1; chromosome XII:CM010204.1; chromosome XIII:CM010205.1; chromosome XIV:CM010206.1; chromosome XV:CM010207.1; chromosome XVI:CM010208.1","NPPG01",39,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/270/325/GCA_003270325.1_ASM327032v1",
"Saccharomyces cerevisiae","Eukaryota;Fungi;Ascomycetes","XJ1","SAMN07436890","PRJNA396809","GCA_003275095.1"," Chromosome",11.8368,38.1464,"chromosome I:CM013154.1; chromosome II:CM013155.1; chromosome III:CM013156.1; chromosome IV:CM013157.1; chromosome V:CM013158.1; chromosome VI:CM013159.1; chromosome VII:CM013160.1; chromosome VIII:CM013161.1; chromosome IX:CM013162.1; chromosome X:CM013163.1; chromosome XI:CM013164.1; chromosome XII:CM013165.1; chromosome XIII:CM013166.1; chromosome XIV:CM013167.1; chromosome XV:CM013168.1; chromosome XVI:CM013169.1","NPVU01",70,0,"2018-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/275/095/GCA_003275095.1_ASM327509v1",
